id,name,description,category,latitude,longitude,radiusMeters,icon,initialUnlocked
test_origin,테스트 기준점,Android 실기기 테스트를 위한 현재 기준 위치입니다.,test,37.4969698129663,127.039093501609,80,origin,false
yeoksam_station,역삼역,테헤란로 중심 업무지구와 연결되는 지하철 2호선 역입니다.,station,37.500622,127.036456,50,station,false
gangnam_station,강남역,강남대로와 테헤란로가 만나는 대표 환승 거점입니다.,station,37.497952,127.027619,50,station,false
seolleung_station,선릉역,선정릉과 테헤란로 업무지구를 잇는 역입니다.,station,37.504494,127.048948,50,station,false
hanti_station,한티역,대치동 생활권과 학원가 주변의 수인분당선 역입니다.,station,37.496237,127.052873,50,station,false
maebong_station,매봉역,양재천과 도곡동 방면으로 이어지는 지하철 3호선 역입니다.,station,37.486947,127.046769,50,station,false
yangjae_station,양재역,강남 남부와 양재 시민의숲 방면을 잇는 환승 거점입니다.,station,37.484147,127.034631,50,station,false
samsung_station,삼성역,COEX와 무역센터 일대 접근성이 높은 지하철 2호선 역입니다.,station,37.508844,127.063160,50,station,false
bongeunsa_station,봉은사역,봉은사와 COEX 북측을 잇는 지하철 9호선 역입니다.,station,37.514219,127.060245,50,station,false
seonjeongneung,선정릉,조선 왕릉인 선릉과 정릉이 함께 있는 도심 속 역사 유산입니다.,history,37.508760,127.045544,50,tomb,false
jeongneung_gangnam,정릉,조선 중종의 능으로 선정릉 권역 안에 자리한 왕릉입니다.,history,37.508884,127.051908,50,tomb,false
bongeunsa,봉은사,강남 도심 속에 남아 있는 대표적인 전통 사찰입니다.,history,37.515172,127.056997,50,temple,false
kukkiwon,국기원기념관,태권도 문화와 역사를 볼 수 있는 국기원 일대 거점입니다.,culture,37.501742,127.030894,50,museum,false
coex,COEX,전시 컨벤션과 문화 공간이 모인 삼성동 대표 복합 공간입니다.,culture,37.511823,127.059159,50,landmark,false
dosan_memorial,도산 안창호 기념관,도산 안창호의 생애와 독립운동 정신을 기리는 공간입니다.,history,37.523918,127.035531,50,museum,false
maeheon_yun_bonggil,매헌 윤봉길의사 기념관,양재 시민의숲 인근의 독립운동 기념 거점입니다.,history,37.469580,127.036527,50,museum,false
samsung_toseong,삼성동 토성,한강 유역 고대 방어 유적으로 알려진 삼성동 일대의 역사 거점입니다.,history,37.519741,127.062081,50,fort,false
seoul_calligraphy_museum,서울서예박물관,예술의전당 권역에서 서예와 문자 문화를 다루는 전시 공간입니다.,culture,37.478346,127.012162,50,museum,false
